filter_level_1,filter_level_2,filter_level_3,variable_name,unit,value,scenario,year,geo
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","3.5839","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","3.58342","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","3.6225","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","3.52038","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","3.58068","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Biomass","EJ","3.60824","E+RE+","2020","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","12.33841","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","12.20751","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","12.40109","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","12.39149","E+RE+","2020","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","12.36792","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Coal and Coke","EJ","12.33439","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05283","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05279","E+RE+","2020","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05277","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05285","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05292","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Geothermal","EJ","0.05288","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.08119","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.08119","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.08119","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.08119","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.0812","E+RE+","2020","national"
"MACRO RESULTS","Primary energy","NA","Hydro","EJ","1.08119","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","33.3646","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","33.90602","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","33.32874","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","33.57367","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","33.31875","E+RE+","2020","national"
"MACRO RESULTS","Primary energy","NA","Natural Gas","EJ","33.40081","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","38.6361","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","38.64041","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","38.63701","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","38.6366","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","38.63619","E+RE+","2020","national"
"MACRO RESULTS","Primary energy","NA","Oil","EJ","38.63706","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Solar","EJ","0.52786","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Solar","EJ","0.52531","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Solar","EJ","0.52241","E+RE+","2020","national"
"MACRO RESULTS","Primary energy","NA","Solar","EJ","0.37646","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Solar","EJ","0.51978","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Solar","EJ","0.50528","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Uranium","EJ","8.85591","E+RE+","2020","national"
"MACRO RESULTS","Primary energy","NA","Uranium","EJ","8.85463","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Uranium","EJ","8.85206","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Uranium","EJ","8.85412","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Uranium","EJ","8.85319","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Uranium","EJ","8.85414","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Wind","EJ","1.48715","E+","2020","national"
"MACRO RESULTS","Primary energy","NA","Wind","EJ","1.48508","E-","2020","national"
"MACRO RESULTS","Primary energy","NA","Wind","EJ","1.48484","E-B+","2020","national"
"MACRO RESULTS","Primary energy","NA","Wind","EJ","1.40592","E+RE-","2020","national"
"MACRO RESULTS","Primary energy","NA","Wind","EJ","1.48125","REF","2020","national"
"MACRO RESULTS","Primary energy","NA","Wind","EJ","1.48762","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coal","Gt CO2","1.0455","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coal","Gt CO2","1.04427","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coal","Gt CO2","1.02885","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coal","Gt CO2","1.0469","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coal","Gt CO2","1.04638","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coal","Gt CO2","1.04356","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coke","Gt CO2","0.07704","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coke","Gt CO2","0.07397","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coke","Gt CO2","0.07282","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coke","Gt CO2","0.07327","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coke","Gt CO2","0.07705","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Coke","Gt CO2","0.07703","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Diesel","Gt CO2","0.66638","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Diesel","Gt CO2","0.66638","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Diesel","Gt CO2","0.66634","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Diesel","Gt CO2","0.66662","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Diesel","Gt CO2","0.66636","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Diesel","Gt CO2","0.66634","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Gasoline","Gt CO2","1.23142","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Gasoline","Gt CO2","1.23145","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Gasoline","Gt CO2","1.23142","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Gasoline","Gt CO2","1.23142","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Gasoline","Gt CO2","1.23142","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Gasoline","Gt CO2","1.23142","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Jet fuel","Gt CO2","0.2386","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Jet fuel","Gt CO2","0.2386","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Jet fuel","Gt CO2","0.2386","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Jet fuel","Gt CO2","0.2386","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Jet fuel","Gt CO2","0.2386","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Jet fuel","Gt CO2","0.2386","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","LPG","Gt CO2","0.25393","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","LPG","Gt CO2","0.25392","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","LPG","Gt CO2","0.25392","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","LPG","Gt CO2","0.25393","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","LPG","Gt CO2","0.25392","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","LPG","Gt CO2","0.25392","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Natural gas","Gt CO2","1.61293","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Natural gas","Gt CO2","1.6289","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Natural gas","Gt CO2","1.60462","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Natural gas","Gt CO2","1.60116","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Natural gas","Gt CO2","1.60068","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Natural gas","Gt CO2","1.60288","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Residual petroleum","Gt CO2","0.16894","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Residual petroleum","Gt CO2","0.16896","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Residual petroleum","Gt CO2","0.16896","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Residual petroleum","Gt CO2","0.16895","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Residual petroleum","Gt CO2","0.16896","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Residual petroleum","Gt CO2","0.16893","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Industrial co2","Gt CO2","0.10506","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Industrial co2","Gt CO2","0.10506","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Industrial co2","Gt CO2","0.10506","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Industrial co2","Gt CO2","0.10506","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Industrial co2","Gt CO2","0.10506","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Industrial co2","Gt CO2","0.10506","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Geologic sequestration","Gt CO2","0","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Geologic sequestration","Gt CO2","0","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Geologic sequestration","Gt CO2","0","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Geologic sequestration","Gt CO2","0","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Geologic sequestration","Gt CO2","0","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Geologic sequestration","Gt CO2","0","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Product co2","Gt CO2","-0.26871","E+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Product co2","Gt CO2","-0.26871","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Product co2","Gt CO2","-0.26871","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Product co2","Gt CO2","-0.26871","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Product co2","Gt CO2","-0.26871","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Product co2","Gt CO2","-0.26871","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Net","Gt CO2","5.11881","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Net","Gt CO2","5.11735","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Net","Gt CO2","5.1287","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Net","Gt CO2","5.13064","REF","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Net","Gt CO2","5.11605","E-","2020","national"
"MACRO RESULTS","CO2 emissions","NA","Net","Gt CO2","5.12015","E+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coal","Gt CO2","1.0469","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coal","Gt CO2","1.04427","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coal","Gt CO2","1.04356","E-","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coal","Gt CO2","1.02885","REF","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coal","Gt CO2","1.04638","E+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coal","Gt CO2","1.0455","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coke","Gt CO2","0.07703","REF","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coke","Gt CO2","0.07705","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coke","Gt CO2","0.07282","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coke","Gt CO2","0.07704","E+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coke","Gt CO2","0.07397","E-","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Coke","Gt CO2","0.07327","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Diesel","Gt CO2","0.66638","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Diesel","Gt CO2","0.66638","E-","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Diesel","Gt CO2","0.66634","E+RE+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Diesel","Gt CO2","0.66636","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Diesel","Gt CO2","0.66662","REF","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Diesel","Gt CO2","0.66634","E+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Gasoline","Gt CO2","1.23142","E+RE-","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Gasoline","Gt CO2","1.23142","E-B+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Gasoline","Gt CO2","1.23142","E-","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Gasoline","Gt CO2","1.23142","E+","2020","national"
"MACRO RESULTS","CO2 emissions","Product CO2 netted out","Product CO2 netted out - Gasoline","Gt CO2","1.23142","E+RE+","2020","national"
