filter_level_1,filter_level_2,filter_level_3,variable_name,unit,value,scenario,year,geo
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Electric Resistance","%","17.11965","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Electric Resistance","%","21.97562","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Electric Resistance","%","21.97562","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Electric Resistance","%","29.07883","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Electric Resistance","%","17.11965","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Electric Resistance","%","21.97562","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Gas Furnace","%","31.36697","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Gas Furnace","%","6.66928","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Gas Furnace","%","5.42563","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Gas Furnace","%","5.42563","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Gas Furnace","%","5.42563","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Gas Furnace","%","31.36697","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Fossil","%","0.30796","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Fossil","%","0.30796","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Fossil","%","2.02403","E-B+","2050","national"
